,Ats System Code,Location Code,Location Name,Beds Number,Managed By Name,Location Type Description,School Type,Offers Kindergarten Classes,Has A Pre-K,Grades Offered,Date The School Building Opened,Year The School Building Opened,Age of The School Building,X Coordinate,Y Coordinate,Community District,Council District,Census Tract,Borough Block Lot,NTA,Neighborhood,Principal,Geographical District Code,Admin District Location Code,Lat,Lon,Pre-K Seats Available,Pre-K Applicants,Pre-K offers,Pre-K Admissions Rate,Kindergarten Seats Available,Kindergarten Applicants,Kindergarten offers,Kindergarten Admissions Rate,Grade 6 Seats Available,Grade 6 Applicants,Grade 6 offers,Grade 6 Admissions Rate,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 offers,Grade 9 Admissions Rate, Pre-K Total Enrollment Including Half Day And Full Day,Number of Female Students in Pre-K,Percentage of Female Students in Pre-K,Number of Male Students in Pre-K,Percentage of Male Students in Pre-K,Number of Asian Students in Pre-K,Percentage of Asian Students in Pre-K,Number of Black Students in Pre-K,Percentage of Black Students in Pre-K,Number of Hispanic Students in Pre-K,Percentage of Hispanic Students in Pre-K,Number of Students with a Race listed as Other in Pre-K,Percentage of Students with a Race listed as Other in Pre-K,Number of White Students in Pre-K,Percentage of White Students in Pre-K,Number of K Through 8 Students Who Passed The State English Language Arts Exams,Percentage of K Through 8 Students Who Passed The State English Language Arts Exams,Number of K Through 8 Students Who Passed The State Math Exam,Percentage of K Through 8 Students Who Passed The State Math Exam,Does the Schol Have A Gifted And Talented Program,Total Number of Removals and Suspensions,Kindergarten General Education Average Class Size,Kindergarten Integrated Co-Teaching And Gifted and Talented Average Class Size ,Kindergarten Gifted and Talented Average Class Size ,Kindergarten Integrated Co-Teaching Average Class Size ,Full Time Licensed Pe Teachers,Type of Physical Education Space,Is Physical Education Space Shared With Other Schools,Is the Physical Education Space Inside or Outside,Is Physical Education Space Space Used For Any Other Purpose Beside Physical Education,Does the School have an Auditorium,Does the School have a Library,"Total Number of Teachers, Administrators and Support Staff",Total Expense Budget,PTA Funding,PTA Funding Per Student,Total Enrollment,Number of Students In Grade K,Number of Students In Grade 1,Number of Students In Grade 2,Number of Students In Grade 3,Number of Students In Grade 4,Number of Students In Grade 5,Number of Students In Grade 6,Number of Students In Grade 7,Number of Students In Grade 8,Number of Students In Grade 9,Number of Students In Grade 10,Number of Students In Grade 11,Number of Students In Grade 12,Number of Female Students,Percentage of Female Students,Number of Male Students,Percentage of Male Students,Number of Asian Students,Percentage of Asian Students,Number of Black Students,Percentage of Black Students,Number of Hispanic Students,Percentage of Hispanic Students,Number of Multiple Race Categories Not Represented,Percentage of Multiple Race Categories Not Represented,Number of White Students,Percentage of White Students,Number of Students With Disabilities,Percentage of Students With Disabilities,Number of English Language Learners,Percentage of English Language Learners,Number of Students In Poverty,Percentage of  Students In Poverty,Economic Need Index,Average Daily Breakfast Participation,Average Daily Lunch Participation,Number of Salad Bars,Elementary Admissions Methods,Elementary School Admissions Methods Description,Does the School have a Gifted and Talented Program in Kindergarten,Did The School Make offers To Students Who Live Outside The Zone,Type of Dual Language Programs,Phone Number,Address,Number of Guidance Counselors,Number of Social Workers,Is the School Co Located,How Accessible is the School,All Four Arts Disciplines Provided to Grades 1 through 5
668,28Q220,Q220,P.S. 220 Edward Mandel,343000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1956,1956,62,1025093,207570,406,29,74500,4021430001,QN17,Forest Hills                                                               ,Josette Pizarro,28,Q828,40.736314,-73.852621,36,172,36,21%,100,202,96,48%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,36,19,53%,17,47%,9,25%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,8,22%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,16,44%,148,47%,154,48%,Yes,Redacted For Privacy Concerns,20,0,14,0,1,Gymnasium,N,Inside,N,Yes,No,82,"$6,940,268",$0,$0,706,92,124,121,109,126,98,0,0,0,0,0,0,0,357,51%,349,49%,229,32%,53,8%,142,20%,25,4%,257,36%,76,11%,151,21%,526,75%,63%,219,556,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",Yes,Yes,None,718-592-3030,"62-10 108 STREET, QUEENS NY 11375",1,1,No,Not Accessible,Yes
669,28Q303,Q303,The Academy for Excellence through the Arts,343000000000.0,DOE,General Academic,Early Childhood,Yes,Yes,"Pre-K, K, 1, 2, 3, SE",7/1/2008,2008,10,1027480,203739,406,29,73900,4022180021,QN17,Forest Hills                                                               ,Barbara Leto,28,Q828,40.725787,-73.844032,36,445,36,8%,50,741,46,6%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,36,18,50%,18,50%,17,47%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,6,17%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,10,28%,34,97%,34,97%,No,0,25,0,0,0,0,Multi-Purpose Room,N,Inside,Y,No,No,23,"$2,192,746",$0,$0,207,50,48,37,36,0,0,0,0,0,0,0,0,0,99,48%,108,52%,80,39%,11,5%,37,18%,5,2%,74,36%,24,12%,1,0%,51,25%,23%,45,151,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,None,718-459-1358,"108-55 69 AVENUE, QUEENS NY 11375",0,0,No,Partially Accessible,Yes
670,28Q312,Q312,Jamaica Children's School,343000000000.0,DOE,General Academic,Elementary,Yes,No,"K, 1, 2, 3, SE",7/1/2014,2014,4,1042214,192028,412,28,26000,4121510001,QN01,South Jamaica                                                              ,Suzanne Wasik,28,Q828,40.693559,-73.790975,No Pre K,No Pre K,No Pre K,No Pre K,50,66,48,73%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,No,0,16,0,0,0,0,Multi-Purpose Non Classroom,Y,Inside,Y,No,No,25,"$2,162,166",$0,$0,153,37,40,41,35,0,0,0,0,0,0,0,0,0,72,47%,81,53%,3,2%,106,69%,36,24%,3,2%,5,3%,49,32%,11,7%,140,92%,79%,52,112,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-526-0160,"109-20 UNION HALL STREET, QUEENS NY 11433",0,1,Yes,Not Accessible,Yes
671,28Q349,Q349,The Queens School for Leadership and Excellence,343000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, SE",7/1/2015,2015,3,1040178,197421,412,24,44602,4098130033,QN61,Jamaica                                                                    ,Tanya Bates Howell,28,Q828,40.708698,-73.79798100000001,36,190,36,19%,75,263,93,35%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,35,15,43%,20,57%,21,60%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,9,26%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Nan,Nan,Nan,Nan,No,26,24,0,0,24,1,Gym/Auditorium,Y,Inside,Y,No,No,44,"$4,436,954",$0,$0,318,103,90,90,0,0,0,0,0,0,0,0,0,0,144,45%,174,55%,131,41%,64,20%,104,33%,10,3%,9,3%,36,11%,53,17%,281,88%,78%,196,262,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,None,718-558-6220,"88-08 164TH STREET, QUEENS NY 11432",1,0,Yes,Fully Accessible,Yes
672,28Q354,Q354,The Jermaine L. Green STEM Institute of Queens,343000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/2011,2011,7,1046749,187042,412,28,33402,4124950065,QN02,Springfield Gardens North                                                  ,Raevan Askew,28,Q828,40.679843,-73.774668,36,86,33,38%,100,113,83,73%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,27,18,67%,9,33%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,24,89%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,72,31%,57,24%,No,39,21,0,0,22,1,Multi-Purpose Room,N,Inside,Y,No,No,75,"$5,868,433",$0,$0,616,92,85,96,102,106,108,0,0,0,0,0,0,0,285,46%,331,54%,19,3%,530,86%,45,7%,18,3%,4,1%,116,19%,21,3%,473,77%,68%,314,391,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-276-1348,"126-10 BEDELL STREET, QUEENS NY 11434",1,0,No,Not Accessible,No
673,29Q015,Q015,P.S. 015 Jackie Robinson,343000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1939,1939,79,1051769,189317,412,27,37600,4126720001,QN08,St. Albans                                                                 ,Antonio Ktori,29,Q829,40.68605,-73.756546,36,123,36,29%,75,166,68,41%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,36,23,64%,13,36%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,33,92%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,64,33%,64,33%,No,35,18,0,0,0,1,Gymnasium,N,Inside,N,Yes,Yes,43,"$3,736,162",$0,$0,433,57,71,68,57,79,65,0,0,0,0,0,0,0,237,55%,196,45%,7,2%,392,91%,26,6%,5,1%,3,1%,50,12%,14,3%,317,73%,62%,155,354,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-525-1670,"121-15 LUCAS STREET, QUEENS NY 11413",1,0,No,Partially Accessible,Yes
674,29Q033,Q033,P.S. 033 Edward M. Funk,343000000000.0,DOE,General Academic,Elementary,Yes,No,"K, 1, 2, 3, 4, 5, SE",7/1/1925,1925,93,1057948,204317,413,23,56000,4107560001,QN34,Queens Village                                                             ,Vincent Gatto,29,Q829,40.727171999999996,-73.73410200000001,No Pre K,No Pre K,No Pre K,No Pre K,150,264,141,53%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,227,51%,204,46%,No,10,24,0,0,21,1,Multi-Purpose Classroom,N,Inside,Y,Yes,No,81,"$8,541,597",$0,$0,974,148,170,175,155,164,162,0,0,0,0,0,0,0,452,46%,522,54%,474,49%,141,14%,241,25%,83,9%,35,4%,126,13%,177,18%,799,82%,59%,145,626,2,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-465-6283,"91-37 222 STREET, QUEENS NY 11428",1,1,No,Partially Accessible,No
675,29Q034,Q034,P.S. 034 John Harvard,343000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",07/01/1898,1898,120,1056968,198417,413,27,58200,4111510081,QN34,Queens Village                                                             ,Pauline Shakespeare,29,Q829,40.710986,-73.737702,36,129,36,28%,100,163,80,49%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,36,22,61%,14,39%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,23,64%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,110,43%,114,44%,No,6,20,0,0,19,2,Gymnasium,N,Inside,N,Yes,Yes,64,"$5,416,689",$0,$0,580,85,80,103,90,99,87,0,0,0,0,0,0,0,283,49%,297,51%,54,9%,406,70%,96,17%,16,3%,8,1%,95,16%,62,11%,526,91%,65%,431,500,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-465-6818,"104-12 SPRINGFIELD BOULEVARD, QUEENS NY 11429",1,0,No,Not Accessible,No
676,29Q035,Q035,P.S. 035 Nathaniel Woodhull,343000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1931,1931,87,1048318,199286,412,23,48200,4104470007,QN07,Hollis                                                                     ,Mark Dempsey,29,Q829,40.713438000000004,-73.76889399999999,36,140,36,26%,100,196,106,54%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,32,20,63%,12,38%,9,28%,9,28%,9,28%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,105,36%,120,40%,No,14,25,0,0,25,1,Gym/Auditorium,Y,Inside,Y,Yes,Yes,68,"$6,586,274",$0,$0,706,108,120,112,99,97,138,0,0,0,0,0,0,0,358,51%,348,49%,197,28%,247,35%,189,27%,57,8%,16,2%,97,14%,98,14%,631,89%,73%,177,581,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-465-6820,"191-02 90 AVENUE, QUEENS NY 11423",1,1,No,Fully Accessible,Yes
677,29Q036,Q036,P.S. 036 Saint Albans School,343000000000.0,DOE,General Academic,Elementary,Yes,No,"K, 1, 2, 3, 4, 5, SE",7/1/1924,1924,94,1049674,191226,412,27,36600,4124390032,QN08,St. Albans                                                                 ,Lynn Staton,29,Q829,40.691306,-73.764081,No Pre K,No Pre K,No Pre K,No Pre K,75,168,71,42%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,65,30%,42,20%,No,9,20,0,0,22,1,Playroom/Cafeteria,N,Inside,Y,Yes,No,46,"$4,277,108",$0,$0,449,69,65,73,72,74,96,0,0,0,0,0,0,0,215,48%,234,52%,16,4%,366,82%,46,10%,17,4%,4,1%,90,20%,29,6%,316,70%,72%,108,330,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-528-1862,"187-01 FOCH BOULEVARD, QUEENS NY 11412",0,1,No,Not Accessible,Yes
678,29Q037,Q037,Cynthia Jenkins School,343000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1928,1928,90,1051160,185727,412,27,35200,4129930118,QN08,St. Albans                                                                 ,Pascale Benjaminpereira,29,Q829,40.676201,-73.758778,54,90,35,39%,75,122,59,48%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,36,15,42%,21,58%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,30,83%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,56,26%,58,27%,No,12,19,0,0,21,1,Adaptive Physical Education,N,Inside,N,Yes,Yes,52,"$4,841,546",$0,$0,445,59,58,69,74,79,70,0,0,0,0,0,0,0,213,48%,232,52%,10,2%,385,87%,41,9%,8,2%,1,0%,85,19%,18,4%,349,78%,71%,245,334,2,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-528-5399,"179-37 137 AVENUE, QUEENS NY 11434",1,1,No,Not Accessible,Yes
679,29Q038,Q038,P.S. 038 Rosedale,343000000000.0,DOE,General Academic,Elementary,Yes,No,"K, 1, 2, 3, 4, 5, SE",7/1/1926,1926,92,1058101,183907,413,31,63800,4132220001,QN05,Rosedale                                                                   ,Julia Soussis,29,Q829,40.67115,-73.733774,No Pre K,No Pre K,No Pre K,No Pre K,50,143,31,22%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,58,48%,60,50%,No,0,22,0,0,23,1,Gym/Auditorium,N,Inside,Y,Yes,Yes,29,"$3,038,566",$0,$0,270,46,52,48,42,44,38,0,0,0,0,0,0,0,129,48%,141,52%,5,2%,231,86%,26,10%,2,1%,6,2%,45,17%,14,5%,212,79%,52%,50,218,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-528-2276,"135-21 241 STREET, QUEENS NY 11422",0,0,No,Not Accessible,No
680,29Q052,Q052,P.S. 052 Queens,343000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1927,1927,91,1048849,180338,413,31,32000,4133530020,QN03,Springfield Gardens South-Brookville                                       ,Linda Pough,29,Q829,40.661427,-73.767161,54,82,29,35%,75,84,58,69%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,30,16,53%,14,47%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,24,80%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,66,33%,47,23%,No,15,25,0,0,24,1,Multi-Purpose Classroom,N,Inside,Y,Yes,No,58,"$5,967,310",$0,$0,462,78,74,68,65,58,89,0,0,0,0,0,0,0,219,47%,243,53%,15,3%,361,78%,60,13%,16,3%,10,2%,91,20%,35,8%,339,73%,76%,151,353,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-528-2238,"178-37 146 TERRACE, QUEENS NY 11434",1,1,No,Not Accessible,Yes
681,29Q095,Q095,P.S. 095 Eastwood,343000000000.0,DOE,General Academic,Elementary,Yes,No,"K, 1, 2, 3, 4, 5, SE",7/1/1915,1915,103,1044331,198495,412,27,46800,4099140001,QN61,Jamaica                                                                    ,Kim Hill,29,Q829,40.711295,-73.783283,No Pre K,No Pre K,No Pre K,No Pre K,225,364,216,59%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,336,57%,321,54%,No,Redacted For Privacy Concerns,25,0,0,26,1,Multi-Purpose Non Classroom,N,Inside,Y,Yes,Yes,118,"$12,519,487",$0,$0,1490,237,239,226,256,263,269,0,0,0,0,0,0,0,752,50%,738,50%,614,41%,140,9%,627,42%,85,6%,24,2%,159,11%,332,22%,1102,74%,77%,153,1133,2,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,Spanish,718-739-0007,"179-01 90 AVENUE, QUEENS NY 11432",2,1,No,Not Accessible,Yes
682,29Q116,Q116,P.S./I.S. 116 William C. Hughley,343000000000.0,DOE,General Academic,K-8,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, 6, 7, 8, SE",7/1/1925,1925,93,1044741,194687,412,27,41400,4102500001,QN01,South Jamaica                                                              ,Debra Farrow,29,Q829,40.70084,-73.781839,54,79,39,49%,100,100,89,89%,90,161,86,0.534161491,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,46,28,61%,18,39%,7,15%,19,41%,18,39%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,100,23%,80,19%,No,54,24,0,0,24,2,Multi-Purpose Classroom,N,Inside,Y,Yes,Yes,93,"$8,439,639",$0,$0,792,108,96,82,88,79,97,70,65,61,0,0,0,0,403,51%,389,49%,54,7%,428,54%,279,35%,18,2%,13,2%,177,22%,126,16%,619,78%,81%,174,526,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,None,718-526-4884,"107-25 WREN PLACE, QUEENS NY 11433",2,1,No,Not Accessible,No
683,29Q118,Q118,P.S. 118 Lorraine Hansberry,343000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1927,1927,91,1049342,195552,412,27,50400,4109260050,QN07,Hollis                                                                     ,Michelle Soussoudis,29,Q829,40.703182,-73.765237,36,82,32,39%,75,99,68,69%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,36,19,53%,17,47%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,29,81%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,75,38%,53,27%,No,Redacted For Privacy Concerns,21,0,0,20,1,Auxiliary Exercise Room,N,Inside,N,Yes,Yes,54,"$5,056,148",$0,$0,448,65,67,66,71,79,64,0,0,0,0,0,0,0,216,48%,232,52%,14,3%,354,79%,60,13%,10,2%,10,2%,94,21%,40,9%,319,71%,71%,123,340,0,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-465-5538,"190-20 109 ROAD, QUEENS NY 11412",1,0,No,Not Accessible,No
684,29Q131,Q131,P.S. 131 Abigail Adams,343000000000.0,DOE,General Academic,Elementary,Yes,No,"K, 1, 2, 3, 4, 5, SE",7/1/1926,1926,92,1041338,200621,408,24,45600,4098750001,QN35,Briarwood-Jamaica Hills                                                    ,Veronica Depaolo,29,Q829,40.71715,-73.794061,No Pre K,No Pre K,No Pre K,No Pre K,100,338,102,30%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,302,71%,316,73%,No,0,19,0,0,17,1,Gym/Auditorium,Y,Inside,Y,Yes,No,70,"$6,984,036",$0,$0,812,98,127,138,131,154,164,0,0,0,0,0,0,0,416,51%,396,49%,626,77%,45,6%,81,10%,23,3%,37,5%,78,10%,141,17%,745,92%,70%,37,514,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-480-2840,"170-45 84 AVENUE, QUEENS NY 11432",1,0,No,Fully Accessible,Yes
685,29Q132,Q132,P.S. 132 Ralph Bunche,343000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1928,1928,90,1053783,187828,413,31,62600,4129270028,QN66,Laurelton                                                                  ,Alicia Hawkins Davis,29,Q829,40.681948,-73.7493,36,78,23,29%,75,138,70,51%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,34,15,44%,19,56%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,28,82%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,65,44%,58,39%,No,0,22,0,0,20,1,Gymnasium,N,Inside,N,Yes,Yes,46,"$4,210,189",$0,$0,391,65,63,68,51,45,65,0,0,0,0,0,0,0,183,47%,208,53%,3,1%,344,88%,37,9%,4,1%,3,1%,84,21%,18,5%,325,83%,63%,138,274,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-528-5734,"132-15 218 STREET, QUEENS NY 11413",1,0,No,Not Accessible,Yes
686,29Q134,Q134,P.S. 134 Hollis,343000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1928,1928,90,1052246,197146,412,27,50800,4109060001,QN07,Hollis                                                                     ,Robert Chambers,29,Q829,40.707535,-73.754747,36,93,20,22%,40,111,61,55%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,28,16,57%,12,43%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,14,50%,10,36%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,48,31%,34,22%,No,10,25,0,0,25,1,Adaptive Physical Education,N,Inside,N,Yes,Yes,48,"$4,721,473",$0,$0,382,51,54,66,53,53,77,0,0,0,0,0,0,0,178,47%,204,53%,16,4%,295,77%,62,16%,7,2%,2,1%,75,20%,42,11%,324,85%,70%,140,338,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-464-5544,"203-02 109 AVENUE, QUEENS NY 11412",1,0,No,Not Accessible,No
687,29Q135,Q135,The Bellaire School,343000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1930,1930,88,1051444,202000,413,23,49200,4105820016,QN06,Jamaica Estates-Holliswood                                                 ,Diana Lagnese,29,Q829,40.720864,-73.757591,108,171,94,55%,150,273,140,51%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,101,55,54%,46,46%,36,36%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,21,21%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,189,44%,174,40%,No,138,24,0,0,19,1,Gymnasium,N,Inside,N,Yes,Yes,108,"$10,041,403",$0,$0,989,146,138,147,143,156,158,0,0,0,0,0,0,0,475,48%,514,52%,344,35%,274,28%,186,19%,143,14%,42,4%,152,15%,132,13%,564,57%,59%,669,693,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-464-2119,"207-11 89 AVENUE, QUEENS NY 11427",1,1,No,Partially Accessible,Yes
688,29Q136,Q136,P.S. 136 Roy Wilkins,343000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1928,1928,90,1052824,194016,412,27,52000,4110180021,QN08,St. Albans                                                                 ,Tanya Walker,29,Q829,40.69894,-73.75269399999999,54,118,51,43%,75,147,74,50%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,41,17,41%,24,59%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,34,83%,7,17%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,106,39%,71,26%,No,Redacted For Privacy Concerns,24,0,0,0,1,Dance Room,N,Inside,N,Yes,Yes,58,"$5,763,839",$0,$0,618,72,93,106,87,116,103,0,0,0,0,0,0,0,306,50%,312,50%,10,2%,526,85%,63,10%,9,1%,10,2%,88,14%,37,6%,489,79%,66%,219,485,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-465-2286,"201-15 115 AVENUE, QUEENS NY 11412",1,0,Yes,Not Accessible,Yes
